Year,Gebietseinheit,Kategorie,Units,GeoCode,Value
2016.0,Baden-Württember,Einwohner/-innen am 31.12.,Anzahl,code08,10951893.0
2016.0,Bayern,Einwohner/-innen am 31.12.,Anzahl,code09,12930751.0
2016.0,Berlin,Einwohner/-innen am 31.12.,Anzahl,code11,3574830.0
2016.0,Brandenburg,Einwohner/-innen am 31.12.,Anzahl,code12,2494648.0
2016.0,Bremen ,Einwohner/-innen am 31.12.,Anzahl,code04,678753.0
2016.0,Hamburg,Einwohner/-innen am 31.12.,Anzahl,code02,1810438.0
2016.0,Hessen,Einwohner/-innen am 31.12.,Anzahl,code06,6213088.0
2016.0,Mecklenburg-Vorpommern,Einwohner/-innen am 31.12.,Anzahl,code13,1610674.0
2016.0,Niedersachsen,Einwohner/-innen am 31.12.,Anzahl,code03,7945685.0
2016.0,Nordrhein-Westfalen,Einwohner/-innen am 31.12.,Anzahl,code05,17890100.0
2016.0,Rheinland-Pfalz,Einwohner/-innen am 31.12.,Anzahl,code07,4066053.0
2016.0,Saarland,Einwohner/-innen am 31.12.,Anzahl,code10,996651.0
2016.0,Sachsen,Einwohner/-innen am 31.12.,Anzahl,code14,4081783.0
2016.0,Sachsen-Anhalt,Einwohner/-innen am 31.12.,Anzahl,code15,2236252.0
2016.0,Schleswig-Holstein,Einwohner/-innen am 31.12.,Anzahl,code01,2881926.0
2016.0,Thüringe,Einwohner/-innen am 31.12.,Anzahl,code16,2158128.0
2016.0,Deutschland,Einwohner/-innen am 31.12.,Anzahl,,82521653.0
2020.0,Baden-Württember,Einwohner/-innen am 31.12.,Anzahl,code08,11103043.0
2020.0,Bayern,Einwohner/-innen am 31.12.,Anzahl,code09,13140183.0
2020.0,Berlin,Einwohner/-innen am 31.12.,Anzahl,code11,3664088.0
2020.0,Brandenburg,Einwohner/-innen am 31.12.,Anzahl,code12,2531071.0
2020.0,Bremen ,Einwohner/-innen am 31.12.,Anzahl,code04,680130.0
2020.0,Hamburg,Einwohner/-innen am 31.12.,Anzahl,code02,1852478.0
2020.0,Hessen,Einwohner/-innen am 31.12.,Anzahl,code06,6293154.0
2020.0,Mecklenburg-Vorpommern,Einwohner/-innen am 31.12.,Anzahl,code13,1610774.0
2020.0,Niedersachsen,Einwohner/-innen am 31.12.,Anzahl,code03,8003421.0
2020.0,Nordrhein-Westfalen,Einwohner/-innen am 31.12.,Anzahl,code05,17925570.0
2020.0,Rheinland-Pfalz,Einwohner/-innen am 31.12.,Anzahl,code07,4098391.0
2020.0,Saarland,Einwohner/-innen am 31.12.,Anzahl,code10,983991.0
2020.0,Sachsen,Einwohner/-innen am 31.12.,Anzahl,code14,4056941.0
2020.0,Sachsen-Anhalt,Einwohner/-innen am 31.12.,Anzahl,code15,2180684.0
2020.0,Schleswig-Holstein,Einwohner/-innen am 31.12.,Anzahl,code01,2910875.0
2020.0,Thüringe,Einwohner/-innen am 31.12.,Anzahl,code16,2120237.0
2020.0,Deutschland,Einwohner/-innen am 31.12.,Anzahl,,83155031.0
2021.0,Baden-Württember,Einwohner/-innen am 31.12.,Anzahl,code08,11124642.0
2021.0,Bayern,Einwohner/-innen am 31.12.,Anzahl,code09,13176989.0
2021.0,Berlin,Einwohner/-innen am 31.12.,Anzahl,code11,3677472.0
2021.0,Brandenburg,Einwohner/-innen am 31.12.,Anzahl,code12,2537868.0
2021.0,Bremen ,Einwohner/-innen am 31.12.,Anzahl,code04,676463.0
2021.0,Hamburg,Einwohner/-innen am 31.12.,Anzahl,code02,1853935.0
2021.0,Hessen,Einwohner/-innen am 31.12.,Anzahl,code06,6295017.0
2021.0,Mecklenburg-Vorpommern,Einwohner/-innen am 31.12.,Anzahl,code13,1611160.0
2021.0,Niedersachsen,Einwohner/-innen am 31.12.,Anzahl,code03,8027031.0
2021.0,Nordrhein-Westfalen,Einwohner/-innen am 31.12.,Anzahl,code05,17924591.0
2021.0,Rheinland-Pfalz,Einwohner/-innen am 31.12.,Anzahl,code07,4106485.0
2021.0,Saarland,Einwohner/-innen am 31.12.,Anzahl,code10,982348.0
2021.0,Sachsen,Einwohner/-innen am 31.12.,Anzahl,code14,4043002.0
2021.0,Sachsen-Anhalt,Einwohner/-innen am 31.12.,Anzahl,code15,2169253.0
2021.0,Schleswig-Holstein,Einwohner/-innen am 31.12.,Anzahl,code01,2922005.0
2021.0,Thüringe,Einwohner/-innen am 31.12.,Anzahl,code16,2108863.0
2021.0,Deutschland,Einwohner/-innen am 31.12.,Anzahl,,83237124.0
,,,,,
